subject,trial_number,start_time,end_time,duration_s
sub-01,1,252.418,289.754,37.33600000000001
sub-01,2,296.154,333.488,37.334
sub-01,3,339.872,377.206,37.334
sub-01,4,383.59,420.926,37.33600000000001
sub-01,5,427.308,464.642,37.334
sub-01,6,471.024,508.356,37.331999999999994
sub-01,7,514.74,552.076,37.33600000000001
sub-01,8,558.46,595.79,37.32999999999993
sub-01,9,602.174,639.512,37.337999999999965
sub-01,10,645.894,683.228,37.333999999999946
sub-02,1,117.29,160.96,43.67
sub-02,2,167.694,211.362,43.668000000000006
sub-02,3,218.078,261.744,43.666000000000025
sub-02,4,268.462,312.13,43.668000000000006
sub-02,5,318.848,362.516,43.668000000000006
sub-02,6,369.23,412.9,43.66999999999996
sub-02,7,419.612,463.284,43.67199999999997
sub-02,8,469.998,513.668,43.670000000000016
sub-02,9,520.38,564.052,43.672000000000025
sub-02,10,570.768,614.436,43.668000000000006
sub-03,1,116.236,159.904,43.66799999999999
sub-03,2,167.668,211.34,43.672
sub-03,3,219.072,262.74,43.668000000000006
sub-03,4,270.472,314.14,43.668000000000006
sub-03,5,321.892,365.556,43.66399999999999
sub-03,6,373.288,416.96,43.67199999999997
sub-03,7,424.708,468.376,43.66799999999995
sub-03,8,476.128,519.796,43.66800000000006
sub-03,9,527.524,571.196,43.672000000000025
sub-03,10,578.928,622.596,43.668000000000006
sub-05,1,15.882,59.552,43.67
sub-05,2,68.638,112.306,43.66799999999999
sub-05,3,121.37,165.04,43.66999999999999
sub-05,4,174.106,217.772,43.666
sub-05,5,226.82,270.492,43.672000000000025
sub-05,6,279.558,323.226,43.668000000000006
sub-05,7,332.292,375.96,43.668000000000006
sub-05,8,385.024,428.694,43.670000000000016
sub-05,9,437.758,481.428,43.670000000000016
sub-05,10,490.494,534.162,43.668000000000006
sub-06,1,46.094,89.764,43.669999999999995
sub-06,2,98.848,142.514,43.66600000000001
sub-06,3,151.58,195.248,43.66799999999998
sub-06,4,204.316,247.984,43.668000000000006
sub-06,5,257.048,300.718,43.670000000000016
sub-06,6,309.784,353.452,43.668000000000006
sub-06,7,362.516,406.186,43.66999999999996
sub-06,8,415.252,458.92,43.668000000000006
sub-06,9,467.986,511.654,43.668000000000006
sub-06,10,520.72,564.388,43.668000000000006
sub-07,1,35.862,79.532,43.669999999999995
sub-07,2,88.598,132.266,43.66799999999999
sub-07,3,141.332,185.002,43.670000000000016
sub-07,4,194.068,237.736,43.66799999999998
sub-07,5,246.8,290.47,43.670000000000016
sub-07,6,299.536,343.204,43.668000000000006
sub-07,7,352.27,395.938,43.668000000000006
sub-07,8,405.004,448.672,43.668000000000006
sub-07,9,457.738,501.406,43.668000000000006
sub-07,10,510.472,554.142,43.67000000000007
sub-08,1,176.16,219.83,43.670000000000016
sub-08,2,228.896,272.564,43.668000000000035
sub-08,3,281.628,325.298,43.670000000000016
sub-08,4,334.364,378.03,43.666
sub-08,5,387.08,430.75,43.670000000000016
sub-08,6,439.798,483.466,43.668000000000006
sub-08,7,492.516,536.184,43.66799999999995
sub-08,8,545.25,588.918,43.668000000000006
sub-08,9,597.986,641.654,43.668000000000006
sub-08,10,650.702,694.372,43.66999999999996
sub-09,1,45.39,89.06,43.67
sub-09,2,98.124,141.794,43.670000000000016
sub-09,3,150.842,194.512,43.66999999999999
sub-09,4,203.578,247.246,43.668000000000006
sub-09,5,256.312,299.98,43.668000000000006
sub-09,6,309.046,352.714,43.668000000000006
sub-09,7,361.782,405.448,43.666
sub-09,8,414.516,458.184,43.668000000000006
sub-09,9,467.248,510.918,43.670000000000016
sub-09,10,519.984,563.65,43.66599999999994
sub-10,1,62.1,105.77,43.669999999999995
sub-10,2,114.854,158.52,43.66600000000001
sub-10,3,167.588,211.256,43.668000000000006
sub-10,4,220.322,263.99,43.668000000000006
sub-10,5,273.056,316.724,43.668000000000006
sub-10,6,325.792,369.458,43.666000000000054
sub-10,7,378.524,422.192,43.668000000000006
sub-10,8,431.258,474.928,43.670000000000016
sub-10,9,483.992,527.662,43.670000000000016
sub-10,10,536.728,580.396,43.668000000000006
sub-11,1,32.116,75.784,43.668000000000006
sub-11,2,84.816,128.484,43.668000000000006
sub-11,3,137.516,181.18,43.664000000000016
sub-11,4,190.216,233.88,43.66399999999999
sub-11,5,242.912,286.58,43.66799999999998
sub-11,6,295.612,339.28,43.66799999999995
sub-11,7,348.312,391.98,43.668000000000006
sub-11,8,401.012,444.68,43.668000000000006
sub-11,9,453.712,497.376,43.66399999999999
sub-11,10,506.412,550.076,43.664000000000044
sub-12,1,67.734,111.398,43.664
sub-12,2,120.432,164.098,43.66600000000001
sub-12,3,173.132,216.798,43.666
sub-12,4,225.83,269.496,43.66599999999997
sub-12,5,278.53,322.196,43.666000000000054
sub-12,6,331.23,374.896,43.666
sub-12,7,383.928,427.594,43.666
sub-12,8,436.628,480.294,43.666
sub-12,9,489.328,502.66,13.33200000000005
sub-14,1,124.126,167.792,43.666
sub-14,2,176.824,220.492,43.66799999999998
sub-14,3,229.524,273.19,43.666
sub-14,4,282.224,325.89,43.666
sub-14,5,334.924,378.59,43.666
sub-14,6,387.622,431.288,43.666
sub-14,7,440.322,483.988,43.666
sub-14,8,493.022,536.688,43.666
sub-14,9,545.72,589.386,43.66599999999994
sub-14,10,598.42,642.086,43.666000000000054
